[2016/2/2 - 16:23:02] Ku_Gaming(10) (Ping: 45) | damage: 0.000000 | Weapon: AK47 | Issuer: Sip_Do(13) | Frames: 54
[2016/2/2 - 16:27:43] Anhh_Nho(7) (Ping: 49) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Nam_Sit(10) | Frames: 54
[2016/2/2 - 16:27:44] Anhh_Nho(7) (Ping: 49) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Nam_Sit(10) | Frames: 54
[2016/2/2 - 16:34:26] [PRISONED] Anhh_Nho(7) (Ping: 44) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Jack_Gambitse(14) | Frames: 54
[2016/2/3 - 14:44:08] Tran_Thuy_Hoang(4) (Ping: 28) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Ballas_MAn(11) | Frames: 44
[2016/2/3 - 14:44:11] Tran_Thuy_Hoang(4) (Ping: 28) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Ballas_MAn(11) | Frames: 33
[2016/2/3 - 14:44:13] [PRISONED] Tran_Thuy_Hoang(4) (Ping: 32) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Ballas_MAn(11) | Frames: 35
[2016/2/3 - 15:29:56] Tran_Thuy_Hoang(4) (Ping: 33) | damage: 0.000000 | Weapon: M4 | Issuer: Villineo_Otori(18) | Frames: 15
[2016/2/3 - 15:29:56] Tran_Thuy_Hoang(4) (Ping: 33) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Bet_Stom(12) | Frames: 15
[2016/2/3 - 15:29:57] [PRISONED] Tran_Thuy_Hoang(4) (Ping: 33) | damage: 0.000000 | Weapon: Desert Eagle | Issuer: Bet_Stom(12) | Frames: 14
